clip_id,title,decision,confidence,replacement_clip_id,replacement_title,rationale
clip_001,Whiteboard setup | online teaching | how to record lecture videos | teaching from home | lighting,keep,0.94,,,Strong teacher visibility and lecture fit; the clip still adds useful nonverbal coverage without being redundant with the replacements.
clip_002,How to teach with whiteboard on YouTube | Online teaching for beginners | Whiteboard setup |,keep,0.84,,,Strong teacher visibility and lecture fit; the clip still adds useful nonverbal coverage without being redundant with the replacements.
clip_003,Whiteboard Lighting Setup | studio setup for online class | teaching studio tour,keep,0.84,,,Strong teacher visibility and lecture fit; the clip still adds useful nonverbal coverage without being redundant with the replacements.
clip_004,Professional Teaching Videos कैसे बनते हैं ?,keep,0.94,,,Strong teacher visibility and lecture fit; the clip still adds useful nonverbal coverage without being redundant with the replacements.
clip_005,Make Educational Videos with OBS + PPT + Pen tablet | Remove video background,keep,0.94,,,Strong teacher visibility and lecture fit; the clip still adds useful nonverbal coverage without being redundant with the replacements.
clip_006,How to Make Perfect Whiteboard Teaching Setup for Online Classes Hindi,keep,0.84,,,Strong teacher visibility and lecture fit; the clip still adds useful nonverbal coverage without being redundant with the replacements.
clip_007,"How to make lesson videos, screen recordings in less than 6 minutes",keep,0.94,,,Strong teacher visibility and lecture fit; the clip still adds useful nonverbal coverage without being redundant with the replacements.
clip_008,Lets-Learn: Teaching with Whiteboard and Marker Setup [Teaching Math in the New Normal],keep,0.84,,,Strong teacher visibility and lecture fit; the clip still adds useful nonverbal coverage without being redundant with the replacements.
clip_009,How to make Teaching Videos at home | How I record my videos | My Youtube Setup Tour (in Hindi),replace,0.96,mit_ocw_intro_120_180,mit ocw intro 120 180,"Dropped because the clip is mostly setup-heavy, interview/presentation-adjacent, or too generic for teacher-facing nonverbal calibration; replaced with a more visible lecture-style local clip from /workspace/clips."
clip_010,How to shoot educational videos | lecture videos from mobile | chalk talk tutorials,keep,0.94,,,Strong teacher visibility and lecture fit; the clip still adds useful nonverbal coverage without being redundant with the replacements.
clip_011,#Best white Board Studio Lighting Setup For Online teaching l Light Setup teaching Video l By JK sir,replace,0.96,mit_ocw_brain_300_360,mit ocw brain 300 360,"Dropped because the clip is mostly setup-heavy, interview/presentation-adjacent, or too generic for teacher-facing nonverbal calibration; replaced with a more visible lecture-style local clip from /workspace/clips."
clip_012,Youtube पर कैसे पढ़ाए | Educational Video Kaise Banaye | Whiteboard Setup | 1Lakh हर महीना कमाए,replace,0.96,mit_ocw_how_to_speak_300_360,mit ocw how to speak 300 360,"Dropped because the clip is mostly setup-heavy, interview/presentation-adjacent, or too generic for teacher-facing nonverbal calibration; replaced with a more visible lecture-style local clip from /workspace/clips."
