clip_id,title,url,channel,duration_sec,selection_reason,priority_tier,start_hint_sec,extraction_policy,notes,goldset_candidate,manifest_index,clip_path,run_status,run_dir,semantic_status,coaching_mode,top_action_count,no_material_intervention_needed,confidence_note,overall_score,audience_score,alertness_score,reliability,copied_semantic_summary_md,copied_semantic_summary_json,copied_coaching_report_md,copied_coaching_report_json,copied_coaching_report_pdf,copied_summary_md,copied_summary_json,error
cs50_business_150_210,cs50 business 150 210,file:///workspace/clips/cs50_business_150_210.mp4,CS50,60.0,workspace_local_clip,A,0.0,pre_extracted_60s_clip,Registered from /workspace/clips for fast validation and frontend debugging.,True,0,/workspace/TeacherEvaluation/evaluation/local_data/clips/cs50_business_150_210/clip.mp4,ok,/workspace/TeacherEvaluation/evaluation/local_data/runs/gemini_flash_local/cs50_business_150_210/run_20260318T010139Z,completed,llm_api_hybrid,3,False,"Face visibility was limited in parts of the clip, so eye-contact and facial-tone claims are less certain.",46.565551533538326,45.93127752221568,75.0765472474897,,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/cs50_business_150_210/semantic_summary.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/cs50_business_150_210/semantic_summary.json,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/cs50_business_150_210/teacher_coaching_report.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/cs50_business_150_210/teacher_coaching_report.json,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/cs50_business_150_210/teacher_coaching_report.pdf,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/cs50_business_150_210/summary_full.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/cs50_business_150_210/summary_full.json,
mit_ocw_aero_300_360,mit ocw aero 300 360,file:///workspace/clips/mit_ocw_aero_300_360.mp4,MIT OCW,59.99,workspace_local_clip,A,0.0,pre_extracted_60s_clip,Registered from /workspace/clips for fast validation and frontend debugging.,True,1,/workspace/TeacherEvaluation/evaluation/local_data/clips/mit_ocw_aero_300_360/clip.mp4,ok,/workspace/TeacherEvaluation/evaluation/local_data/runs/gemini_flash_local/mit_ocw_aero_300_360/run_20260318T010303Z,completed,llm_api_hybrid,3,False,"Face visibility is limited in parts of the clip, so eye-contact and facial-tone claims are less certain.",38.28507461975439,47.97278044799681,71.69347034402506,,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_aero_300_360/semantic_summary.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_aero_300_360/semantic_summary.json,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_aero_300_360/teacher_coaching_report.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_aero_300_360/teacher_coaching_report.json,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_aero_300_360/teacher_coaching_report.pdf,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_aero_300_360/summary_full.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_aero_300_360/summary_full.json,
mit_ocw_brain_300_360,mit ocw brain 300 360,file:///workspace/clips/mit_ocw_brain_300_360.mp4,MIT OCW,59.99,workspace_local_clip,A,0.0,pre_extracted_60s_clip,Registered from /workspace/clips for fast validation and frontend debugging.,True,2,/workspace/TeacherEvaluation/evaluation/local_data/clips/mit_ocw_brain_300_360/clip.mp4,ok,/workspace/TeacherEvaluation/evaluation/local_data/runs/gemini_flash_local/mit_ocw_brain_300_360/run_20260318T010424Z,completed,llm_api,1,False,"Hand visibility drops in parts of the clip, so gesture labels are less certain.",59.551382254927425,80.67481951681785,90.99201402796058,,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_brain_300_360/semantic_summary.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_brain_300_360/semantic_summary.json,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_brain_300_360/teacher_coaching_report.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_brain_300_360/teacher_coaching_report.json,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_brain_300_360/teacher_coaching_report.pdf,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_brain_300_360/summary_full.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_brain_300_360/summary_full.json,
mit_ocw_how_to_speak_300_360,mit ocw how to speak 300 360,file:///workspace/clips/mit_ocw_how_to_speak_300_360.mp4,MIT OCW,59.99,workspace_local_clip,A,0.0,pre_extracted_60s_clip,Registered from /workspace/clips for fast validation and frontend debugging.,True,3,/workspace/TeacherEvaluation/evaluation/local_data/clips/mit_ocw_how_to_speak_300_360/clip.mp4,ok,/workspace/TeacherEvaluation/evaluation/local_data/runs/gemini_flash_local/mit_ocw_how_to_speak_300_360/run_20260318T010546Z,completed,llm_api,1,False,"Face visibility is limited in parts of the clip, so eye-contact and facial-tone claims are less certain.",49.61346367574215,65.86968229341393,79.74324727052363,,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_how_to_speak_300_360/semantic_summary.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_how_to_speak_300_360/semantic_summary.json,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_how_to_speak_300_360/teacher_coaching_report.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_how_to_speak_300_360/teacher_coaching_report.json,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_how_to_speak_300_360/teacher_coaching_report.pdf,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_how_to_speak_300_360/summary_full.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_how_to_speak_300_360/summary_full.json,
mit_ocw_intro_120_180,mit ocw intro 120 180,file:///workspace/clips/mit_ocw_intro_120_180.mp4,MIT OCW,60.0,workspace_local_clip,A,0.0,pre_extracted_60s_clip,Registered from /workspace/clips for fast validation and frontend debugging.,True,4,/workspace/TeacherEvaluation/evaluation/local_data/clips/mit_ocw_intro_120_180/clip.mp4,ok,/workspace/TeacherEvaluation/evaluation/local_data/runs/gemini_flash_local/mit_ocw_intro_120_180/run_20260318T010737Z,completed,llm_api_hybrid,1,False,"Tracking quality is stable enough for formative review, but the outputs remain heuristic proxies rather than direct teaching-quality measures.",63.44337433067363,75.94984697144797,86.46948046548731,,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_intro_120_180/semantic_summary.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_intro_120_180/semantic_summary.json,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_intro_120_180/teacher_coaching_report.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_intro_120_180/teacher_coaching_report.json,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_intro_120_180/teacher_coaching_report.pdf,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_intro_120_180/summary_full.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_intro_120_180/summary_full.json,
mit_ocw_linear_eq_180_240,mit ocw linear eq 180 240,file:///workspace/clips/mit_ocw_linear_eq_180_240.mp4,MIT OCW,60.03,workspace_local_clip,A,0.0,pre_extracted_60s_clip,Registered from /workspace/clips for fast validation and frontend debugging.,True,5,/workspace/TeacherEvaluation/evaluation/local_data/clips/mit_ocw_linear_eq_180_240/clip.mp4,ok,/workspace/TeacherEvaluation/evaluation/local_data/runs/gemini_flash_local/mit_ocw_linear_eq_180_240/run_20260318T010838Z,completed,llm_api,0,True,"[""Face visibility is limited in parts of the clip, so eye-contact and facial-tone claims are less certain."", ""Hand visibility drops in parts of the clip, so gesture labels are less certain."", ""Pose coverage dropped below 95%",29.31286708540825,14.253477988693,57.29487030291386,,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_linear_eq_180_240/semantic_summary.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_linear_eq_180_240/semantic_summary.json,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_linear_eq_180_240/teacher_coaching_report.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_linear_eq_180_240/teacher_coaching_report.json,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_linear_eq_180_240/teacher_coaching_report.pdf,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_linear_eq_180_240/summary_full.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_linear_eq_180_240/summary_full.json,
mit_ocw_microecon_180_240,mit ocw microecon 180 240,file:///workspace/clips/mit_ocw_microecon_180_240.mp4,MIT OCW,60.0,workspace_local_clip,A,0.0,pre_extracted_60s_clip,Registered from /workspace/clips for fast validation and frontend debugging.,True,6,/workspace/TeacherEvaluation/evaluation/local_data/clips/mit_ocw_microecon_180_240/clip.mp4,ok,/workspace/TeacherEvaluation/evaluation/local_data/runs/gemini_flash_local/mit_ocw_microecon_180_240/run_20260318T011003Z,completed,llm_api,0,True,,46.395483496691305,54.04107886203753,74.96617063912379,,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_microecon_180_240/semantic_summary.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_microecon_180_240/semantic_summary.json,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_microecon_180_240/teacher_coaching_report.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_microecon_180_240/teacher_coaching_report.json,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_microecon_180_240/teacher_coaching_report.pdf,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_microecon_180_240/summary_full.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_microecon_180_240/summary_full.json,
mit_ocw_pigeonhole_240_300,mit ocw pigeonhole 240 300,file:///workspace/clips/mit_ocw_pigeonhole_240_300.mp4,MIT OCW,60.0,workspace_local_clip,A,0.0,pre_extracted_60s_clip,Registered from /workspace/clips for fast validation and frontend debugging.,True,7,/workspace/TeacherEvaluation/evaluation/local_data/clips/mit_ocw_pigeonhole_240_300/clip.mp4,ok,/workspace/TeacherEvaluation/evaluation/local_data/runs/gemini_flash_local/mit_ocw_pigeonhole_240_300/run_20260318T011120Z,completed,llm_api_hybrid,2,False,"Face visibility is limited in parts of the clip, so eye-contact and facial-tone claims are less certain.",51.75489094917768,67.57738866551233,81.76520949514932,,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_pigeonhole_240_300/semantic_summary.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_pigeonhole_240_300/semantic_summary.json,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_pigeonhole_240_300/teacher_coaching_report.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_pigeonhole_240_300/teacher_coaching_report.json,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_pigeonhole_240_300/teacher_coaching_report.pdf,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_pigeonhole_240_300/summary_full.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_pigeonhole_240_300/summary_full.json,
mit_ocw_power_elec_240_300,mit ocw power elec 240 300,file:///workspace/clips/mit_ocw_power_elec_240_300.mp4,MIT OCW,60.0,workspace_local_clip,A,0.0,pre_extracted_60s_clip,Registered from /workspace/clips for fast validation and frontend debugging.,True,8,/workspace/TeacherEvaluation/evaluation/local_data/clips/mit_ocw_power_elec_240_300/clip.mp4,ok,/workspace/TeacherEvaluation/evaluation/local_data/runs/gemini_flash_local/mit_ocw_power_elec_240_300/run_20260318T011234Z,completed,llm_api_hybrid,2,False,"Hand visibility drops in parts of the clip, so gesture labels are less certain.",51.926891933175206,72.21445486226155,83.8651819242441,,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_power_elec_240_300/semantic_summary.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_power_elec_240_300/semantic_summary.json,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_power_elec_240_300/teacher_coaching_report.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_power_elec_240_300/teacher_coaching_report.json,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_power_elec_240_300/teacher_coaching_report.pdf,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_power_elec_240_300/summary_full.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_power_elec_240_300/summary_full.json,
mit_ocw_psychology_240_300,mit ocw psychology 240 300,file:///workspace/clips/mit_ocw_psychology_240_300.mp4,MIT OCW,60.03,workspace_local_clip,A,0.0,pre_extracted_60s_clip,Registered from /workspace/clips for fast validation and frontend debugging.,True,9,/workspace/TeacherEvaluation/evaluation/local_data/clips/mit_ocw_psychology_240_300/clip.mp4,ok,/workspace/TeacherEvaluation/evaluation/local_data/runs/gemini_flash_local/mit_ocw_psychology_240_300/run_20260318T011358Z,completed,llm_api,0,True,"[""Face visibility is limited in parts of the clip, so eye-contact and facial-tone claims are less certain."", ""Hand visibility drops in parts of the clip, so gesture labels are less certain."", ""Pose coverage dropped below 95%",61.45928657846555,88.481034008963,70.97032610957443,,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_psychology_240_300/semantic_summary.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_psychology_240_300/semantic_summary.json,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_psychology_240_300/teacher_coaching_report.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_psychology_240_300/teacher_coaching_report.json,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_psychology_240_300/teacher_coaching_report.pdf,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_psychology_240_300/summary_full.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/full_flash_tuned_20260318T010135Z/reports/mit_ocw_psychology_240_300/summary_full.json,
